Level 1,Level 2,Level 3,Definition,Examples,YAGO Mapping,Wikidata
WEA,CloseCombatWeapon,PoleWeapon,"A close combat weapon in which the main fighting part is fitted to the end of a long shaft, typically of wood","spear, trident",N/A,
WEA,Cyberweapon,,"A piece of computer software used to penetrate enemy networks  for military, paramilitary, or intelligence objectives as part of an cyberattack","Stuxnet, Skywiper",N/A,
WEA,ExplosiveDevice,,A device that bursts with sudden violence from internal energy,"bomb, grenade, landmine",ExplosiveDevice103305522,
WEA,ExplosiveDevice,Bomb,An explosive device fused to explode under specific conditions (excluding neuclear bomb),"Mk 82, FAB-250, cluster bomb, car bomb",Bomb102866578,
WEA,Gun,,A firearm designed to pneumatically discharge solid projectiles,,Gun103467984,
WEA,Gun,Pistol,A firearm that is held and fired with one hand (handgun),"M1873, Glock 17",Pistol103948459,
WEA,Gun,Rifle,A shoulder firearm with a long barrel and a rifled bore,"M16, AR-10, Dragunov SVU",Rifle104090263,
WEA,Gun,Shotgun,A firearm that is a double-barreled smoothbore shoulder weapon for firing shot or slug at short ranges,"M97, Remington Model 870",Shotgun104206356,
WEA,Missile,,A guided airborne ranged weapon carrying a warhead of conventional or nuclear explosives,,Missile103773504,
WEA,Missile,AirToAirMissile,A missile fired from an aircraft for the purpose of destroying another aircraft,"AIM-47 Falcon, AA-5 'Ash'",Air-to-airMissile102693413,
WEA,Missile,AirToGroundMissile,A missile designed to be launched from military aircraft at targets on land or sea,"AGM-119, AGM-80 Viper",Air-to-groundMissile102693540,
WEA,Missile,ICBM,"A guided ballistic missile with a minimum range of 3,400 miles primarily designed for nuclear weapons delivery","LGM-30 Minuteman III, RS-26 Rubezh, DF-41",IntercontinentalBallisticMissile103578251,
WEA,Missile,SurfaceToAirMissile,A missile designed to be launched from the ground to destroy aircraft or other missiles,"MIM-3 Nike Ajax, FIM-43 Redeye, MIM-104 Patriot, SA-22 Greyhound",Surface-to-airMissile104363210,
WEA,NonLethalWeapon,,A weapon intended to be less likely to kill a living target than conventional weapons such as knives and firearms,,N/A,
WEA,NonLethalWeapon,Baton,"A short staff or stick, usually made of wood, wielded as a weapon (also known as club)","baton, truncheon ",N/A,
WEA,NonLethalWeapon,BatonRound,Non lethal projectile fired from a specialised gun ,"rubber bullet, plastic bullet, sponge grenade",N/A,
WEA,NonLethalWeapon,DirectedEnergyWeapon,A weapon that emits energy in an aimed direction without the means of a projectile,"ultraviolet laser, Active Denial System, Dazzler",N/A,
WEA,NonLethalWeapon,ElectroshockWeapon,Non lethal weapon deelivering an electric shock aimed at temporarily disrupting muscle functions and/or inflicting pain ,"TASER,  stun gun, ADS",N/A,
WEA,NonLethalWeapon,GasSpray,Gas or sray containing incapacitating agent,"tear gas, pepper stay,  water of high velocity",N/A,
WEA,Projectile,,A weapon that is forcibly thrown or projected at a targets but is not self-propelled,"bullet, shell, dart, arrow ",Projectile104008634,
WEA,Projectile,Bullet,A projectile that is fired from a gun,".22 Short, .22 Long",Bullet102916350,
WEA,Projectile,Shell,A payload-carrying projectile that contains an explosive or other filling,"common shell, shrapnel shell",Shell104190464,
WEA,WMD,,"A nuclear, radiological, chemical, biological, or any other weapon that can kill and bring significant harm to numerous humans and structures"," chemical, biological, radiological, or nuclear weapons",WeaponOfMassDestruction104565963,
WEA,WMD,Bioweapon,"A bacterium, virus, protozoan, parasite, or fungus that can be used purposefully as a weapon in bioterrorism or biological warfare","Bacillus anthracis (Anthrax), Vibrio cholerae (Cholera)",Bioweapon102842303,
WEA,WMD,ChemicalWeapon,Chemical substances delivered using dispersal devices to inflict death or harm on humans (excluding non-lethal tear gas and peper spray),"nerve gas, mustard gas",ChemicalWeapon103013162,
WEA,WMD,NuclearWeapon,A weapon of mass destruction whose explosive power derives from a nuclear reaction,"hydrogen bomb, atomic bomb",NuclearWeapon103834604,
